id	lemma	pure	translit	full_definition
H88	אֹבֹת	אבת	ʼôbôth	Oboth = "waterskins" 1) undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab) exegesis:plural of אוֹב H178 ; water-skins; explanation: Oboth , a place in the Desert translation:Oboth.
H89	אָגֵא	אגא	ʼÂgêʼ	Agee = "I shall increase" 1) father of a warrior of David exegesis:of uncertain derivation (compare אֲגַג H90 ); explanation: Age , an Israelite translation:Agee.
H90	אֲגַג	אגג	ʼĂgag	Agag = "I will overtop" 1) king of Amalek, spared by Saul but slain by Samuel exegesis:or אֲגָג H ; of uncertain derivation (compare אָגֵא H89 ); flame; explanation: Agag , a title of Amalekitish kings translation:Agag.
H91	אֲגָגִי	אגגי	ʼĂgâgîy	Agagite = "I will overtop" 1) said of Haman, Haman the Agagite exegesis:patrial or patronymic from אֲגַג H90 ; explanation: an Agagite or descendent (subject) of Agag translation:Agagite.
H92	אֲגֻדָּה	אגדה	ʼăguddâh	[G:references: G1197,G1860] 1) band, binding 1a) cords, bands, thongs (metaphorical of slavery) 1b) bunch of hyssop 1c) band of men, troops 1d) vault (of the heavens), firmament (binding earth to the heavens) exegesis:feminine passive participle of an unused root (meaning to bind); explanation: a band , bundle , knot , or arch translation:bunch, burden, troop.
H93	אֱגוֹז	אגוז	ʼĕgôwz	1) nuts exegesis:prob of Persian origin; explanation: a nut translation:nut.
H94	אָגוּר	אגור	ʼÂgûwr	Agur = "gathered" 1) son of Jakeh, an author or compiler of Pr 30:1-33 exegesis:passive participle of אָגַר H103 ; gathered (i.e. received among the sages); explanation: Agur , a fanciful name for Solomon translation:Agur.
H95	אֲגוֹרָה	אגורה	ʼăgôwrâh	1) payment, piece, coin exegesis:from the same as אָגוּר H94 ; explanation:properly, something gathered , i.e. perhaps a grain or berry ; used only of a small (silver) coin translation:piece (of) silver.
H96	אֶגֶל	אגל	ʼegel	1) drop, reserve supply, collections, stores exegesis:from an unused root (meaning to flow down or together as drops); explanation: a reservoir translation:drop.
H97	אֶגְלַיִם	אגלים	ʼEglayim	Eglaim = "double reservoir" 1) a town in Moab exegesis:dual of אֶגֶל H96 .; a double pond; explanation: Eglajim , a place in Moab translation:Eglaim.
H98	אֲגַם	אגם	ʼăgam	[G:references: G3041] 1) pool, troubled pool 1a) troubled or muddy (gloomy) pools, marshes 1b) any pool, pond 1c) swamp reeds, reeds, rush(es) exegesis:from an unused root (meaning to collect as water); explanation: a marsh ; hence a rush (as growing in swamps); hence a stockade of reeds translation:pond, pool, standing (water).
H99	אָגֵם	אגם	ʼâgêm	1) stagnant pond exegesis:probably from the same as אֲגַם H98 (in the sense of stagnant water); explanation:figuratively, sad translation:pond.
H100	אַגְמוֹן	אגמון	ʼagmôwn	[G:references: G440] 1) rush, bulrush 1a) used as cord or line (of twisted rushes or spun of rush fibre) 1b) of the lowly, insignificant (metaph) 2) sad, drooping 1a) of line of bulrushes 1b) bowing of the head (fig.) 1c) of the lowly (metaph) exegesis:from the same as אֲגַם H98 ; a marshy pool (others from a different root, a kettle); by implication explanation: a bulrush (as growing there); collectively a rope of bulrushes translation:bulrush, caldron, hook, rush.
H101	אַגָּן	אגן	ʼaggân	1) bowl, basins 1a) basins used in ritual 1b) human body (metaph), curves of the body (simile) 1c) of family of Eliakim (metaph) exegesis:probably from נָגַן H5059 ; explanation: a bowl (as pounded out hollow) translation:basin, cup, goblet.
H102	אַגָּף	אגף	ʼaggâph	1) wing (of an army), band, army, hordes exegesis:probably from נָגַף H5062 (through the idea of impending); a cover or heap; i.e. explanation:(only plural) wings of an army , or crowds of troops translation:bands.
H103	אָגַר	אגר	ʼâgar	1) to gather 1a) (Qal) to gather exegesis:a primitive root; explanation: to harvest translation:gather.
H104	אִגְּרָא	אגרא	ʼiggᵉrâʼ	[G:references: G1992,G29] 1) letter, missive (Aramaic loan-word used in last OT books) exegesis:(Aramaic) of Persian origin; explanation: an epistle (as carried by a state courier or postman) translation:letter.
H105	אֲגַרְטָל	אגרטל	ʼăgarṭâl	1) vessel, basket, leather bag, basin exegesis:of uncertain derivation; explanation: a basin translation:charger.
